2024-04-03 16:00:58,994 INFO    StreamThr :18668 [internal.py:wandb_internal():86] W&B internal server running at pid: 18668, started at: 2024-04-03 16:00:58.994868
2024-04-03 16:00:58,995 DEBUG   HandlerThread:18668 [handler.py:handle_request():146] handle_request: status
2024-04-03 16:00:58,996 INFO    WriterThread:18668 [datastore.py:open_for_write():85] open: D:\UCB\capstone\RL-for-Cost-Savings-DRL\Optimal-Energy-System-Scheduling-Combining-Mixed-Integer-Programming-and-Deep-Reinforcement-Learning\wandb\run-20240403_160058-dr1n4xow\run-dr1n4xow.wandb
2024-04-03 16:00:58,998 DEBUG   SenderThread:18668 [sender.py:send():380] send: header
2024-04-03 16:00:59,022 DEBUG   SenderThread:18668 [sender.py:send():380] send: run
2024-04-03 16:00:59,430 INFO    SenderThread:18668 [dir_watcher.py:__init__():211] watching files in: D:\UCB\capstone\RL-for-Cost-Savings-DRL\Optimal-Energy-System-Scheduling-Combining-Mixed-Integer-Programming-and-Deep-Reinforcement-Learning\wandb\run-20240403_160058-dr1n4xow\files
2024-04-03 16:00:59,430 INFO    SenderThread:18668 [sender.py:_start_run_threads():1122] run started: dr1n4xow with start time 1712185258.994868
2024-04-03 16:00:59,435 DEBUG   HandlerThread:18668 [handler.py:handle_request():146] handle_request: check_version
2024-04-03 16:00:59,435 DEBUG   SenderThread:18668 [sender.py:send_request():407] send_request: check_version
2024-04-03 16:00:59,728 DEBUG   HandlerThread:18668 [handler.py:handle_request():146] handle_request: run_start
2024-04-03 16:00:59,737 DEBUG   HandlerThread:18668 [system_info.py:__init__():32] System info init
2024-04-03 16:00:59,737 DEBUG   HandlerThread:18668 [system_info.py:__init__():47] System info init done
2024-04-03 16:00:59,737 INFO    HandlerThread:18668 [system_monitor.py:start():194] Starting system monitor
2024-04-03 16:00:59,738 INFO    SystemMonitor:18668 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-03 16:00:59,738 INFO    HandlerThread:18668 [system_monitor.py:probe():214] Collecting system info
2024-04-03 16:00:59,741 INFO    SystemMonitor:18668 [interfaces.py:start():190] Started cpu monitoring
2024-04-03 16:00:59,743 DEBUG   HandlerThread:18668 [system_info.py:probe():196] Probing system
2024-04-03 16:00:59,744 INFO    SystemMonitor:18668 [interfaces.py:start():190] Started disk monitoring
2024-04-03 16:00:59,747 INFO    SystemMonitor:18668 [interfaces.py:start():190] Started memory monitoring
2024-04-03 16:00:59,756 INFO    SystemMonitor:18668 [interfaces.py:start():190] Started network monitoring
2024-04-03 16:00:59,756 DEBUG   HandlerThread:18668 [system_info.py:_probe_git():181] Probing git
2024-04-03 16:00:59,806 DEBUG   HandlerThread:18668 [system_info.py:_probe_git():189] Probing git done
2024-04-03 16:00:59,806 DEBUG   HandlerThread:18668 [system_info.py:probe():244] Probing system done
2024-04-03 16:00:59,806 DEBUG   HandlerThread:18668 [system_monitor.py:probe():223] {'os': 'Windows-10-10.0.22631-SP0', 'python': '3.11.9', 'heartbeatAt': '2024-04-03T23:00:59.743522', 'startedAt': '2024-04-03T23:00:58.990549', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'D:\\UCB\\capstone\\RL-for-Cost-Savings-DRL\\Optimal-Energy-System-Scheduling-Combining-Mixed-Integer-Programming-and-Deep-Reinforcement-Learning\\MIP_DQN.py', 'codePathLocal': 'MIP_DQN.py', 'codePath': 'MIP_DQN.py', 'git': {'remote': 'https://github.com/jgeng99/Optimal-Energy-System-Scheduling-Combining-Mixed-Integer-Programming-and-Deep-Reinforcement-Learning.git', 'commit': '24b0eb60c42f2168751749084dac193af20ccac8'}, 'email': 'Georgegeng00@hotmail.com', 'root': 'D:/UCB/capstone/RL-for-Cost-Savings-DRL/Optimal-Energy-System-Scheduling-Combining-Mixed-Integer-Programming-and-Deep-Reinforcement-Learning', 'host': 'DESKTOP-35N51H8', 'username': 'Georg', 'executable': 'C:\\Users\\Georg\\AppData\\Local\\Microsoft\\WindowsApps\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\python.exe', 'cpu_count': 6, 'cpu_count_logical': 12, 'cpu_freq': {'current': 3501.0, 'min': 0.0, 'max': 3501.0}, 'cpu_freq_per_core': [{'current': 3501.0, 'min': 0.0, 'max': 3501.0}], 'disk': {'/': {'total': 299.99999618530273, 'used': 51.14188766479492}}, 'memory': {'total': 15.927825927734375}}
2024-04-03 16:00:59,806 INFO    HandlerThread:18668 [system_monitor.py:probe():224] Finished collecting system info
